,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
,Single Arm Dumbbell Turkish Get Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,None,0,Supine,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
,Bodyweight Bear Crawl,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Core,Other,Compound,Contralateral,Animal Flow
,Stability Ball Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Ring Hanging Leg Raise ,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
,Parallette L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
,Bodyweight Standing Walkout Plank,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Standing,Double Arm,Alternating,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Calisthenics
,Ring Eccentric Pull Up,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Barbell Climb,,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Barbell,1,None,0,Standing,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Calisthenics
,Bodyweight Ipsilateral Bird Dog,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,None,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Core,Other,Compound,Ipsilateral,Unsorted*
,Bodyweight Copenhagen Plank Knee to Elbow,,Video Explanation,Advanced,Adductors,Adductor Magnus,,,Bodyweight,1,Bench (Flat),1,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,Foot Elevated (Side),Single Exercise,Hip Adduction,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
,Ring Eccentric Chin Up,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Single Arm Dumbbell Seated Shoulder External Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,Bench (Flat),1,Seated,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
,Double Dumbbell Seated Cuban Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
,Double Dumbbell Cuban Rotation,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
,Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
,Miniband Fire Hydrant,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,None,0,Quadruped,No Arms,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
,Medicine Ball Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Medicine Ball,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Bodyweight Side Plank,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Core,Other,Compound,Unilateral,Calisthenics
,Cable Reverse Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,1,None,0,Supine,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Cable Rope Half Kneeling High to Low Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Cable Rope Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Cable Rope Staggered Stance High to Low Chop ,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Cable Rope Staggered Stance Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Single Arm Dumbbell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Slider Double Kettlebell Front Rack Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
,Bodyweight Feet On Wall Mountain Climber ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,Feet Elevated,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Calisthenics
,Slider Double Kettlebell Suitcase Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Hollow Body Hold,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Dumbbell Crush Grip Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1,None,0,Supine,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Bar Inverted Hanging Crunch,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Pull Up Bar,1,None,0,Inverted ,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Bodyweight Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Bodyweight,1,None,0,Inverted ,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Slider Double Kettlebell Front Rack Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Bodyweight Supine Alternating Single Leg Raise,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Bodyweight,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Bodyweight Supine Leg Raise,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Bodyweight,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Miniband Bicycle Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Miniband,1,None,0,Supine,No Arms,Alternating,Head Supported,No Load,Alternating,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Bodyweight Side Plank Reach Through,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Core,Other,Compound,Unilateral,Calisthenics
,Bodyweight Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Bodyweight Butterfly Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Slider Mountain Climber,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Sliders,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Slider Pike ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Sliders,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Stability Ball Pike,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Slider Wide Mountain Climber,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Sliders,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Frontal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Stability Ball Crunch,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Stability Ball Feet Elevated Oblique Crunch,Video Demonstration,,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Stability Ball Kneeling Rollout,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Stability Ball,1,None,0,Kneeling,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Core,Other,Compound,Bilateral,Unsorted*
,Stability Ball Single Leg Knee Tuck,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Foot Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Stability Ball Single Leg Pike,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Foot Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Core,Other,Compound,Unilateral,Unsorted*
,Double Dumbbell Z Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,2,None,0,Seated Floor,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
,Slider Double Kettlebell Overhead Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell ,2,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Double Dumbbell Romanian Deadlift,Video Demonstration,Video Explanation,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
